央视频道,#genre#
江苏卫视,http://221.7.175.154:8445/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://58.19.13.92:9901/tsfile/live/1019_1.m3u8?key=txiptv
江苏卫视,http://61.169.37.218:9901/tsfile/live/24320_1.m3u8?key=txiptv
江苏卫视,http://218.17.181.26:1099/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://175.0.24.23:8888/rtp/239.1.0.131:1025
北京卫视,http://219.156.52.203:4000/rtp/225.1.4.81:1110
北京卫视,http://119.126.159.38:4000/rtp/239.77.0.91:5146
北京卫视,http://183.166.125.67:8888/rtp/238.1.78.162:7168
北京卫视,http://218.76.54.101:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://504099760.qicp.vip:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://113.57.109.36:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://58.19.13.92:9901/tsfile/live/1017_1.m3u8?key=txiptv
北京卫视,http://61.169.37.218:9901/tsfile/live/24322_1.m3u8?key=txiptv
东方卫视,http://220.191.34.179:8888/rtp/233.50.201.125:5140
东方卫视,http://219.156.52.203:4000/rtp/225.1.4.85:1114
东方卫视,http://119.126.159.38:4000/rtp/239.77.0.98:5146
东方卫视,http://119.126.159.38:4000/rtp/239.77.1.218:5146
东方卫视,http://218.76.54.101:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://504099760.qicp.vip:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://113.57.109.36:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://221.7.175.154:8445/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://58.19.13.92:9901/tsfile/live/1018_1.m3u8?key=txiptv
东方卫视,http://61.169.37.218:9901/tsfile/live/24316_1.m3u8?key=txiptv
东方卫视,https://tv.smart-chat.net/migu.php?id=dfws2
安徽卫视,http://219.156.52.203:4000/rtp/225.1.4.87:1116
安徽卫视,http://119.126.159.38:4000/rtp/239.77.0.183:5146
安徽卫视,http://183.166.125.67:8888/rtp/238.1.78.150:7072
安徽卫视,http://504099760.qicp.vip:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://113.57.109.36:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://58.19.13.92:9901/tsfile/live/1021_1.m3u8?key=txiptv
广东卫视,http://219.156.52.203:4000/rtp/225.1.4.166:1207
广东卫视,http://119.126.159.38:4000/rtp/239.77.1.19:5146
广东卫视,http://504099760.qicp.vip:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://113.57.109.36:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://221.7.175.154:8445/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://58.19.13.92:9901/tsfile/live/1022_1.m3u8?key=txiptv
广东卫视,http://61.169.37.218:9901/tsfile/live/24323_1.m3u8?key=txiptv
广东卫视,http://218.17.181.26:1099/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,https://tv.smart-chat.net/migu.php?id=gdws
深圳卫视,http://175.0.24.23:8888/rtp/239.1.0.134:1025
深圳卫视,http://220.191.34.179:8888/rtp/233.50.201.101:5140
深圳卫视,http://219.156.52.203:4000/rtp/225.1.4.90:1119
深圳卫视,http://117.82.67.26:8880/rtp/239.49.8.145:6000
深圳卫视,http://117.82.67.26:8880/rtp/239.49.8.15:9430
